ResponseID,ResponseSet,Name,Repeated Study,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Mturk,track,track_2,Consent Form /    /  /  Study Background and Purpose: This study examines decision-making. Your participat...,mcyes,mcyesconfidence,mcyesfirst,mcyeslast,mcyestotaltime,mcyesclickcount,mcno,mcnoconfidence,mcnofirst,mcnolast,mcnototaltime,mcnoclickcount,optyes,optyesconfidence,optyesfirst,optyeslast,optyestotaltime,optyesclickcount,optno,optnoconfidence,optnofirst,optnolast,optnototaltime,optnoclickcount,This is the last page of questions. Please answer them all.,Are you registered as an organ donor on a state or regional registry? ,Have you communicated with your next of kin about whether or not you would like to be an organ donor...,"If you have communicated with your next of kin about organ donation, what have you communicated?","If you had to explicitly communicate with your next of kin about your wishes, which would you indica...",What is your gender?,What is your age?,Which of the following best describes your race/ethnicity?,What is the highest educational degree you have earned?,Are you currently a student?,What is your marital status?,How many children do you have?,What is your total household income? (Please include your parents if you are listed as a dependent.),With which religious affiliation do you most closely identify?,"About how often do you attend religious services (excluding occasional weddings, funerals, etc.)?","Generally speaking, do you think of yourself as a Republican, a Democrat, or an Independent?","When it comes to social issues, do you think of yourself as a liberal or conservative?",In which US State do you live?,"Have you, or has anyone else in your family, received an organ transplant?","Have you, or has anyone else in your family, received dialysis treatment?","Have you, or has anyone else in your family, worked in health care?","If there were an option to be registered as an organ and tissue donor, but for your donor status to...",How many vital organs (organs that are necessary to live) can be transplanted from a cadaver? Please...,About how many people can receive any (vital or non-vital) organs and tissues from one cadaver? Plea...,About how many people are on the organ waiting list for a kidney in the Untied States? Please make y...,Do you think deceased donor organs are allocated fairly overall? ,Do you think deceased donor organs are allocated fairly to people of different races? ,Do you think deceased donor organs are allocated fairly to people with different incomes? ,Do you think deceased donor organs are allocated fairly to people with differential responsibility f...,surveyfirst,surveylast,surverytotaltime,surveyclickcount,Thank you for completing this survey. Your code for payment on MTurk is ${e://Field/Mturk}-111212101...
R_0U54XX44CYedTb7,Default Response Set,Anonymous,,,,0,1/8/13 9:42,1/8/13 9:50,1,6261921,100,82,1,1,3,16.374,24.813,24.917,3,2,4,21.413,30.822,30.946,3,1,2,35.862,45.911,46.034,3,2,3,52.787,58.834,58.957,3,1,2,1,2,2,2,38,5,3,3,1,3,3,8,5,4,5,louisiana,2,2,1,2,13,1,5000,2,2,2,2,4.088,223.127,223.453,29,1
R_00PenmP9JGffdAx,Default Response Set,Anonymous,,,,0,1/8/13 9:45,1/8/13 9:51,1,6561026,71,74,1,1,2,96.576,101.102,101.11,3,2,3,4.927,9.083,9.093,3,1,1,23.211,32.957,32.967,3,2,2,18.452,23.595,23.615,4,1,2,1,2,2,2,30,2,4,3,1,3,5,8,5,7,1,California,2,2,1,1,10,100000,"50,000",2,2,2,2,2.654,145.971,145.996,38,1
R_3sb8FXS3rSjHC0l,Default Response Set,Anonymous,,,,0,1/8/13 9:44,1/8/13 9:51,1,9821464,55,1,1,1,2,14.228,20.617,20.634,3,2,2,26.782,35.365,35.382,3,1,2,45.026,51.887,51.904,3,2,2,13.718,23.357,23.374,3,1,1,1,1,1,1,48,5,4,3,3,1,2,4,4,3,4,Ohio,2,2,1,2,,50,5500,1,1,2,1,8.516,191.777,191.828,19,1
R_2674XsV8FQMLXQV,Default Response Set,Anonymous,,,,0,1/8/13 9:46,1/8/13 9:51,1,5940976,49,36,1,1,1,14.449,17.586,17.589,4,2,1,32.697,38.101,38.106,3,1,1,7.69,10.862,10.865,3,2,2,14.449,19.043,19.045,3,1,2,2,,1,2,27,5,3,3,1,0,7,2,5,1,6,MI,2,2,1,2,5,12,"100,000",1,1,1,1,1.653,111.664,111.672,28,1
R_2aZMkisDu34gded,Default Response Set,Anonymous,,,,0,1/8/13 9:45,1/8/13 9:51,1,4973164,59,67,1,1,1,13.588,18.796,18.798,3,2,2,6.133,12.48,12.483,3,1,1,28.8,36.431,36.435,3,2,3,15.24,21.547,21.552,3,1,2,2,,1,2,33,5,3,3,1,2,5,6,4,4,1,New Jersey,2,2,1,2,10,15,"50,000",1,1,2,1,4.451,241.907,241.912,28,1
R_39FIS83BaFW9MkR,Default Response Set,Anonymous,,,,0,1/8/13 9:50,1/8/13 9:52,1,5099545,79,5,1,1,1,1.947,4.747,4.749,4,2,1,4.666,5.946,5.947,3,1,1,4.629,7.989,7.99,5,2,1,0.677,18.488,18.49,7,1,1,1,1,1,1,23,5,4,3,2,0,11,8,5,6,3,California,1,1,2,2,6,6,700,2,2,2,2,2.417,69.135,69.137,31,1
R_2t0YofWY43dZhpH,Default Response Set,Anonymous,,,,0,1/8/13 9:44,1/8/13 9:53,1,6077023,21,88,1,1,2,57.755,71.299,71.302,3,2,2,40.191,48.501,48.503,3,1,2,36.593,38.891,38.894,3,2,2,25.729,27.717,27.72,3,1,2,2,,1,2,29,1,4,3,1,0,5,3,4,4,6,Connecticut,2,2,2,,25,50,"2,000,000",1,1,1,1,4.516,273.936,273.94,31,1
R_7X3cxOpCjMr5Uwt,Default Response Set,Anonymous,,,,0,1/8/13 9:45,1/8/13 9:55,1,9677086,13,77,1,1,1,23.799,30.126,30.143,3,2,1,7,11.971,11.981,3,1,1,15.336,21.129,21.147,3,2,3,17.382,28.456,28.473,4,1,1,1,1,1,2,32,5,2,3,1,2,4,4,4,4,4,mi,2,2,2,2,5,5,"200,000",1,1,1,1,6.358,144.687,144.727,30,1
R_bsHljaesNrPoEW9,Default Response Set,Anonymous,,,,0,1/8/13 9:52,1/8/13 9:58,1,7345089,81,53,1,1,1,22.334,25.926,25.931,3,2,1,4.636,7.865,7.87,3,1,1,25.129,34.225,34.23,3,2,3,21.108,26.923,26.928,3,1,1,1,1,1,2,35,5,4,3,1,2,5,2,4,2,2,VA,2,1,1,2,8,15,"6,000,000",1,1,1,1,76.784,201.141,201.153,31,1
R_9pK4OJdHd9djyaV,Default Response Set,Anonymous,,,,0,1/8/13 9:53,1/8/13 9:58,1,9240854,84,48,1,1,1,8.302,10.98,10.986,3,2,2,18.302,21.87,21.875,3,1,1,13.267,16.318,16.324,3,1,3,26.505,39.405,39.411,3,1,1,2,,1,2,51,5,5,3,2,2,8,3,5,5,2,Massachusetts,2,2,1,1,10,10,12000,1,1,1,1,4.4,152.744,152.752,31,1
R_8xky9YHmcYne3qJ,Default Response Set,Anonymous,,,,0,1/8/13 9:55,1/8/13 9:58,1,6702610,30,77,1,1,1,12.538,14.505,14.506,3,2,1,23.927,31.303,31.304,3,1,1,11.767,17.095,2.696,5,1,2,9.974,12.422,12.422,3,1,1,2,,1,1,42,6,5,3,3,,8,3,4,2,3,Mo,2,2,2,2,10,10,10000,1,1,1,1,4.655,95.314,95.316,28,1
R_bJbR3XkiBwNIdZr,Default Response Set,Anonymous,,,,0,1/8/13 9:53,1/8/13 10:00,1,7420202,29,88,1,1,1,31.035,39.049,39.05,3,1,1,17.358,27.039,27.041,3,1,1,16.266,26.652,26.653,3,2,1,26.445,37.143,37.145,3,1,1,1,1,1,2,55,5,4,3,1,2,9,1,5,4,4,Texas,2,2,1,2,5,50,2500,1,1,1,1,8.771,207.293,207.295,33,1
R_3973VqBdck3atUx,Default Response Set,Anonymous,,,,0,1/8/13 9:59,1/8/13 10:05,1,9357271,57,33,1,1,1,13.765,23.27,23.273,3,2,1,6.686,13.338,13.339,3,1,1,48.644,56.169,56.17,3,2,3,16.351,29.431,29.432,3,1,1,1,1,1,2,34,5,2,3,1,5,3,4,5,4,4,florida,2,1,1,2,50,50,250,1,1,2,1,4.913,181.762,181.763,30,1
R_3WxV40aEzHjEUwl,Default Response Set,Anonymous,,,,0,1/8/13 9:51,1/8/13 10:05,1,8568524,61,22,1,1,1,14.983,22.389,22.39,4,2,1,8.775,13.145,13.147,4,1,1,2.951,56.194,56.195,5,2,1,5.813,8.186,8.187,3,1,1,1,1,1,2,19,2,3,1,2,0,1,4,4,6,3,Florida,2,1,1,2,4,4,100000,1,1,1,1,5.803,122.378,122.379,35,1
R_6s37PIhhX9SmNed,Default Response Set,Anonymous,,,,0,1/8/13 10:02,1/8/13 10:06,1,9520911,15,8,1,1,1,20.875,27.987,28.008,3,2,1,5.969,8.662,8.682,3,1,1,7.698,11.688,11.709,3,1,2,7.14,11.18,11.199,3,1,1,1,1,1,2,23,5,4,3,1,1,6,1,3,7,1,Minnesota,1,1,1,2,7,5,"120,000",1,1,1,1,2.652,185.915,186.009,30,1
R_6o3UdbDiiElgSZn,Default Response Set,Anonymous,,,,0,1/8/13 9:51,1/8/13 10:07,1,7679101,77,7,1,1,1,12.25,28.141,28.171,5,1,1,14.288,21.585,21.614,3,1,2,45.689,65.471,65.501,5,1,2,59.313,96.673,96.71,4,1,2,1,1,1,2,30,2,2,3,2,2,1,7,5,4,4,New York,2,2,1,1,75,50,1000's,2,2,1,2,8.768,605.163,605.276,31,1
R_a3jVsuA51GXI8tf,Default Response Set,Anonymous,,,,0,1/8/13 10:05,1/8/13 10:08,1,1139203,13,81,1,1,1,17.231,28.956,28.961,3,2,2,4.645,7.759,7.764,3,1,1,2.845,11.376,11.384,3,2,2,4.124,6.413,6.419,3,1,1,1,1,1,2,28,5,4,3,2,0,3,5,5,5,1,Massachusetts,2,2,2,2,5,50,300,1,1,1,1,2.16,120.591,120.616,30,1
R_6x6h6Jg2Pq9ip8N,Default Response Set,Anonymous,,,,0,1/8/13 10:02,1/8/13 10:08,1,68333,3,67,1,1,1,42.186,57.138,57.14,3,2,1,15.854,18.942,18.944,3,1,1,28.124,33.388,33.389,3,2,1,8.986,11.21,11.211,3,1,2,1,2,2,2,53,5,3,3,1,,7,3,5,1,6,Florida,2,2,2,2,10,1,30000,2,2,2,2,4.756,219.347,219.35,39,1
R_esrpmYdUUXTfiO9,Default Response Set,Anonymous,,,,0,1/8/13 10:05,1/8/13 10:10,1,3607521,31,19,1,1,1,11.486,14.185,14.185,3,1,1,6.699,101.224,101.224,10,1,1,10.536,13.578,13.578,3,1,1,5.659,8.217,8.217,3,1,1,1,1,1,1,32,5,4,2,1,0,10,3,3,3,4,Pennsylvania,2,2,1,2,25,50,20000,2,2,2,2,2.187,71.456,71.456,34,1
R_3m9MShIWVd4mzCl,Default Response Set,Anonymous,,,,0,1/8/13 9:48,1/8/13 10:10,1,7730401,17,44,1,1,1,24.59,30.318,30.324,3,2,1,16.549,22.809,22.816,3,1,1,10.875,17.975,17.982,3,2,1,13.6,20.707,20.715,3,1,1,1,1,1,1,59,5,3,2,1,0,5,8,5,7,1,WI,2,2,2,2,10,25,5000,2,2,2,2,6.371,151.262,151.275,28,1
R_1zSUIzQWOnuLT0x,Default Response Set,Anonymous,,,,0,1/8/13 10:04,1/8/13 10:10,1,4146458,30,85,1,1,1,31.569,37.23,37.231,3,1,1,35.512,43.572,43.573,4,1,1,8.215,21.217,21.217,4,2,2,16.27,33.315,33.316,4,1,2,1,2,2,1,35,5,4,3,2,0,11,5,5,6,3,California,2,2,1,2,10,50,15000,1,1,1,1,3.21,172.857,172.858,36,1
R_6g8uwP5EGKVYupf,Default Response Set,Anonymous,,,,0,1/8/13 10:02,1/8/13 10:10,1,2764758,54,49,1,1,3,24.618,34.292,34.303,3,2,2,9.84,18.014,18.033,3,2,2,48.209,62.716,62.729,3,2,1,16.09,35.466,19.394,3,1,2,1,2,2,2,37,6,2,3,2,1,6,4,5,6,3,California,2,2,2,2,I don't know. 10,I thought I read on the first page you provided 50,"400,000",2,2,2,2,4.554,261.796,261.836,32,1
R_0f7sdsoJqVI82j3,Default Response Set,Anonymous,,,,0,1/8/13 10:05,1/8/13 10:10,1,9304773,12,69,1,1,1,2.525,41.283,41.286,7,2,1,5.538,8.66,8.662,4,1,1,13.015,36.553,36.556,4,2,1,6.039,15.321,15.323,3,1,1,1,1,1,1,22,1,4,1,2,0,4,8,5,6,1,Missouri,2,1,2,1,50,50,200000,1,1,1,1,2.053,152.596,152.598,78,1
R_5u27T51qUUoxedL,Default Response Set,Anonymous,,,,0,1/8/13 14:37,1/8/13 14:39,1,3292810,17,51,1,1,1,21.306,25.002,25.003,4,2,1,3.512,5.179,5.18,3,1,1,5.272,10.433,10.436,3,1,1,6.431,9.655,9.656,3,1,1,2,1,1,1,33,5,3,3,1,3,4,4,1,2,5,PA,2,2,2,2,12,50,200000,1,1,1,1,2.597,103.237,103.239,31,1
R_6sdFeqbG2n9LMTX,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:40,1,4863663,5,21,1,1,3,26.588,32.714,32.721,3,2,3,5.294,7.878,7.884,3,1,2,13.111,16.158,16.165,3,2,2,5.006,7.341,7.348,3,1,1,1,1,1,1,42,5,4,3,2,1,4,8,5,3,3,California,2,2,1,2,5,6,15000,1,1,1,1,2.216,112.397,112.414,29,1
R_cYegaV0DPlKe6sl,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:40,1,2275464,4,23,1,1,1,3.875,41.25,41.25,5,2,1,8.047,10.282,10.282,3,1,1,2.969,12.829,12.829,4,2,1,2.391,6.656,6.656,3,1,1,1,1,1,1,27,6,3,3,3,1,7,1,4,6,3,California,2,2,2,1,4,4,"500,000",1,1,1,1,3.563,102.767,102.767,32,1
R_00c5A8LDPIxGoh7,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:40,1,6886515,31,84,1,1,1,15.891,19.257,19.259,3,1,1,27.453,30.309,30.311,3,1,1,4.03,7.332,7.333,3,1,1,6.295,10.59,10.591,4,1,1,1,1,1,2,21,5,3,1,1,2,2,5,4,3,3,Arkansas,2,2,1,1,8,50,"1,000,000",1,1,1,2,1.867,123.076,123.078,36,1
R_4U5wjxAvDNRfIKV,Default Response Set,Anonymous,,,,0,1/8/13 14:37,1/8/13 14:40,1,495315,15,20,1,1,1,1.527,5.213,5.214,3,2,1,1.694,5.142,5.144,3,1,1,4.49,8.026,8.029,3,2,1,2.74,10.421,10.423,4,1,1,1,1,1,2,30,1,4,3,2,0,7,8,5,6,2,de,2,2,1,2,8,50,9000,1,1,1,1,8.389,96.846,96.849,14,1
R_dg7oYIE6RRVQWDr,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:40,1,683186,59,98,1,1,1,10.271,12.311,12.315,3,1,1,14.5,16.932,16.936,3,1,1,40.433,43.249,43.253,3,1,1,17.166,18.838,18.842,3,1,1,1,1,1,1,22,5,4,1,2,0,6,3,4,7,2,Illinois,2,2,1,1,15,40,300000,2,2,2,2,2.469,100.015,100.026,34,1
R_8wA5Q1Rr2sOYlc9,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:40,1,5288506,66,10,1,1,1,4.467,7.018,7.028,3,1,2,8.977,12.483,12.492,3,1,2,16.812,20.219,20.228,3,1,1,15.105,17.497,17.506,3,1,1,2,2,2,1,33,5,3,3,1,0,3,8,5,4,3,wa,2,2,2,1,8,25,100000,2,1,2,2,4.36,151.059,151.084,34,1
R_9ypwenrw8MzGyvr,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:40,1,6994896,80,37,1,1,4,6.034,16.081,16.083,4,2,3,29.405,33.571,33.573,3,1,3,11.699,23.861,23.863,4,1,3,21.142,26.442,26.444,3,1,1,1,1,1,1,24,6,4,1,2,0,3,8,5,3,2,North Carolina,2,1,1,1,10,50,10000,1,1,1,1,3.186,111.761,111.764,36,1
R_3en6DliUToG7J0F,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:41,1,4259207,59,54,1,1,2,14.957,19.645,19.648,3,2,2,4.259,8.075,8.079,3,1,3,40.818,45.226,45.23,3,2,3,43.211,46.787,46.791,3,1,1,2,1,1,1,25,6,4,3,2,0,7,8,4,3,3,Indiana,2,2,1,1,50,50,5000,1,1,2,1,2.974,117.605,117.617,31,1
R_3pWeArMFkToTPMN,Default Response Set,Anonymous,,,,0,1/8/13 14:38,1/8/13 14:41,1,6143065,64,88,1,1,1,2.366,8.287,8.289,3,2,1,2.949,6.75,6.751,3,1,1,27.338,34.811,34.812,3,1,1,13.443,25.62,25.621,3,1,1,1,1,1,1,34,5,3,3,1,2,9,8,5,2,5,Maryland,1,1,1,2,50,3,150,1,1,1,1,3.393,93.812,93.815,34,1
R_8AhvXHOyukW7lpX,Default Response Set,Anonymous,,,,0,1/8/13 14:38,1/8/13 14:41,1,222974,69,12,1,1,1,5.368,6.88,6.881,3,2,1,3.423,5.504,5.505,3,1,2,20.046,23.869,23.871,3,2,3,5.071,7.528,7.528,3,1,1,1,1,1,2,36,1,4,3,2,0,4,2,3,2,6,ma,2,2,2,2,8,2,1000000,1,1,1,1,2.426,100.483,100.488,29,1
R_bHoJzkYQM68OOBn,Default Response Set,Anonymous,,,,0,1/8/13 14:38,1/8/13 14:41,1,7840822,100,11,1,1,2,5.477,7.396,7.406,3,2,2,19.746,21.588,21.601,3,2,2,9.724,11.866,11.879,3,2,2,17.387,33.991,34.005,3,1,2,2,,1,2,31,6,5,3,2,0,3,1,1,3,6,Indiana,2,2,2,2,20,12,180888999,1,1,2,2,2.615,109.563,109.596,31,1
R_5pOfZ7LUHyuW3e5,Default Response Set,Anonymous,,,,0,1/8/13 14:39,1/8/13 14:42,1,9216667,75,100,1,1,1,0.612,4.144,4.152,3,2,1,5.212,10.188,10.195,3,1,1,10.801,16.215,16.222,3,1,1,14.706,23.501,23.508,4,1,1,1,1,1,1,47,5,3,3,2,0,3,8,4,4,2,Maryland,2,2,2,2,all,10,5000,1,1,1,1,1.948,126.892,126.91,30,1
R_cXRd7emk0LRFVsN,Default Response Set,Anonymous,,,,0,1/8/13 14:36,1/8/13 14:43,1,3341242,3,98,1,1,3,52.383,65.697,65.7,5,1,3,39.211,43.247,43.248,3,1,3,16.356,21.966,21.969,3,1,3,16.177,20.554,20.557,3,1,2,2,,1,1,34,5,3,3,2,1,5,8,5,4,4,new york,2,2,1,1,10,50,10000,,1,2,2,6.481,203.553,203.559,31,1
R_9MRpEaXBx5DdMgZ,Default Response Set,Anonymous,,,,0,1/8/13 14:38,1/8/13 14:43,1,698520,1,38,1,1,2,39.422,48.297,48.297,4,2,1,7,10.844,10.844,3,1,1,6.516,9.844,9.844,3,1,1,5.578,7.938,7.953,3,1,2,2,2,2,1,30,5,1,3,2,2,2,4,5,4,4,nebraska,2,2,2,2,20,1,100000,1,1,1,1,4.031,152.468,152.468,32,1
R_3WMdd1MCkVkMNnf,Default Response Set,Anonymous,,,,0,1/8/13 14:37,1/8/13 14:44,1,8827859,51,99,1,1,1,19.243,23.563,23.582,3,2,3,7.297,21.211,21.233,3,1,1,80.221,86.712,86.733,4,2,4,15.57,20.978,20.998,4,1,1,1,1,1,2,,5,3,3,1,1,6,4,5,7,2,ohio,2,2,2,2,8,50,30000,1,1,1,1,4.379,212.867,212.924,32,1
R_7WBrkshRfw0mNrD,Default Response Set,Anonymous,,,,0,1/8/13 14:38,1/8/13 14:46,1,6347979,27,32,1,1,2,30.633,32.834,32.835,3,1,2,47.605,96.064,96.065,6,1,2,11.446,13.856,13.857,3,1,2,18.38,38.198,38.199,3,1,2,2,1,1,2,40,1,5,3,1,2,8,7,3,4,4,New York,2,2,2,2,5,10,50,1,1,2,1,7.458,229.435,229.438,33,1
R_1MndYeBuUsurP6Z,Default Response Set,Anonymous,,,,0,1/8/13 14:42,1/8/13 14:46,1,2308204,1,94,1,1,1,23.517,27.923,27.923,3,2,1,19.157,25.907,25.907,3,1,1,13.625,17.344,17.344,3,1,1,9.578,14.922,14.922,3,1,1,1,1,1,1,52,5,4,3,1,2,11,3,4,1,6,Illinois,2,2,2,1,25,50,"100,000",1,1,2,1,3.782,140.113,140.113,31,1
R_eglXFTlGSG1Cb77,Default Response Set,Anonymous,,,,0,1/8/13 14:41,1/8/13 14:46,1,8179340,82,83,1,1,1,11.222,13.789,13.791,3,1,1,10.311,12.974,12.975,3,1,1,11.996,14.379,14.383,3,1,1,35.687,40.53,40.534,3,1,2,1,,1,2,60,5,4,3,1,3,3,8,5,7,1,KY,2,1,1,1,6,50,"150,000",1,1,2,1,4.18,135.773,135.776,33,1
R_2tJYXhrPa4zTcZn,Default Response Set,Anonymous,,,,0,1/8/13 14:42,1/8/13 14:47,1,9533027,28,71,1,1,1,22.734,31.362,31.367,3,2,1,28.127,38.985,38.99,3,1,1,18.776,21.093,21.098,3,2,1,21.813,27.117,27.122,3,1,2,2,2,2,2,34,5,3,3,1,0,9,7,4,3,3,Minnesota,2,2,1,1,10,50,10000,1,1,2,2,3.679,135.07,135.08,30,1
R_dniTWDXcILDBwS9,Default Response Set,Anonymous,,,,0,1/8/13 14:43,1/8/13 14:49,1,5865849,36,13,1,1,1,12.061,16.884,16.885,3,2,2,56.029,64.925,64.926,3,1,1,16.374,19.566,19.567,3,1,1,32.723,40.515,40.515,3,1,1,1,1,1,1,41,5,4,3,3,1,6,2,3,6,2,AL,2,2,2,2,10,all,1000,1,2,2,2,10.391,185.287,22.259,31,1
R_efi5hS2EVRlBqsd,Default Response Set,Anonymous,,,,0,1/8/13 14:47,1/8/13 14:53,1,7669858,69,14,1,1,1,9.235,17.464,3.42,5,2,1,7.535,11.863,11.872,3,1,1,80.127,84.295,84.304,4,1,1,39.829,43.276,43.503,3,1,1,2,2,1,2,22,2,4,1,2,0,6,3,4,4,4,AL,2,2,2,1,,3,"over 10,000",1,1,2,1,4.994,148.818,20.06,34,1
R_9zVCfVY2T7XBwpf,Default Response Set,Anonymous,,,,0,1/8/13 14:51,1/8/13 14:54,1,957528,100,81,1,2,2,2.009,5.509,5.538,3,2,2,2.438,6.125,6.153,4,2,3,7.394,9.73,9.758,3,1,2,2.835,12.045,12.073,4,1,2,2,2,2,1,18,1,2,1,2,0,2,2,2,5,2,Connecticut,2,2,1,1,6,3,"400,000",2,1,2,2,2.044,93.156,93.235,37,1
R_e9T0J9svYd0cyNv,Default Response Set,Anonymous,,,,0,1/8/13 14:51,1/8/13 14:54,1,9847939,55,16,1,1,2,6.007,14.119,14.12,3,2,2,3.524,6.291,6.293,3,1,2,15.402,24.553,24.556,3,1,4,3.364,29.62,29.623,6,1,2,2,,1,1,34,5,4,3,1,0,11,8,5,4,4,RI,2,2,1,2,10,20,10000,1,1,2,1,3.113,99.223,99.229,33,1
R_cBJAoI3qPrgGqr3,Default Response Set,Anonymous,,,,0,1/8/13 14:51,1/8/13 14:54,1,2111993,52,1,1,1,1,7.303,9.568,9.569,3,2,1,1.469,3.197,3.198,4,1,1,22.405,44.588,44.59,4,2,1,2.992,5.455,5.457,3,1,1,2,,1,1,28,5,3,3,2,0,6,8,5,6,2,NJ,2,2,2,1,10,50,10000,1,1,2,1,4.255,92.087,92.088,32,1
R_0HS5QgNXMjAUmFv,Default Response Set,Anonymous,,,,0,1/8/13 14:51,1/8/13 14:54,1,6656851,36,46,1,1,1,21.139,23.853,23.854,3,2,1,19.558,23.525,23.527,3,1,1,3.688,7.044,7.045,3,2,1,11.109,18.658,18.66,3,1,1,1,1,1,1,52,5,3,1,1,2,10,8,5,6,2,PA,2,2,1,2,5,10,25000,1,1,1,1,2.335,91.993,91.995,29,1
R_bqhY1SQ5SjfkXd3,Default Response Set,Anonymous,,,,0,1/8/13 14:51,1/8/13 14:54,1,109409,8,7,1,1,3,14.46,19.924,19.927,4,2,3,5.677,8.276,8.277,3,1,3,4.19,12.637,12.64,4,1,2,6.37,9.07,9.071,4,1,1,2,1,1,2,19,1,3,1,2,0,8,1,2,6,2,NC,2,2,2,1,35,50,100000,2,2,2,2,2.058,81.16,81.164,40,1
R_eFHIyJK3zAxMNsF,Default Response Set,Anonymous,,,,0,1/8/13 14:52,1/8/13 14:55,1,4963635,81,54,1,1,1,0.962,4.458,4.46,3,2,1,2.872,11.936,11.938,6,1,2,7.889,13.153,13.155,4,2,2,3.553,46.729,46.732,8,1,1,2,1,1,1,20,5,3,1,2,0,11,8,5,5,2,Florida,2,2,2,2,8,5,"5,000",2,1,2,2,1.933,89.66,89.667,38,1
R_cu7KMoF2plOhKp7,Default Response Set,Anonymous,,,,0,1/8/13 14:51,1/8/13 14:55,1,4991295,78,54,1,1,1,4.835,10.864,10.866,3,2,2,11.744,14.454,14.456,3,1,1,4.194,10.155,10.158,3,2,3,26.236,44.84,44.842,6,1,1,1,1,1,1,19,5,3,1,2,1,7,1,3,2,6,Nebraska,2,2,1,2,25,50,25000,1,1,2,1,3.341,149.681,149.684,33,1
R_bxufbvJsmIkpR77,Default Response Set,Anonymous,,,,0,1/8/13 14:48,1/8/13 14:55,1,1198257,2,10,1,1,1,44.93,52.266,52.268,3,1,1,15.725,22.42,22.422,3,1,1,12.234,17.552,17.554,3,1,1,29.27,38.421,38.424,3,1,1,1,1,1,2,41,6,5,3,1,1,11,7,5,7,1,Al,2,2,1,2,5,10,250,2,2,2,2,5.969,231.523,42.179,31,1
R_8qT29TpqnYLMvbL,Default Response Set,Anonymous,,,,0,1/8/13 14:50,1/8/13 14:55,1,3640140,11,66,1,2,1,20.728,48.281,48.282,4,2,1,13.402,20.643,20.645,4,1,1,6.704,10.332,10.334,3,2,1,5.715,8.291,8.293,3,1,2,1,2,2,1,51,5,4,3,1,0,6,8,5,7,1,Illinois,2,2,2,2,20,20,50000,1,1,1,1,0.143,183.952,183.958,30,1
R_3RcLDEy5WqYydKZ,Default Response Set,Anonymous,,,,0,1/8/13 14:53,1/8/13 14:55,1,9105141,95,95,1,1,3,1.757,5.162,5.167,3,1,3,3.832,6.781,6.786,3,1,3,5.144,8.023,8.026,4,1,3,13.029,18.185,18.189,4,1,2,1,1,1,1,22,1,4,1,2,0,11,8,5,7,2,Michigan,2,2,2,2,10,50,100000,1,1,1,1,2.37,99.413,99.424,39,1
R_cwGoSWOk2cjH4Wh,Default Response Set,Anonymous,,,,0,1/8/13 14:53,1/8/13 14:56,1,8090413,21,59,1,1,1,18.132,20.204,20.207,3,2,1,6.724,8.515,8.517,3,1,1,7.611,10.347,10.349,3,2,3,4.145,6.689,6.691,3,1,1,2,,1,2,33,5,4,3,1,3,6,4,1,5,2,TN,2,2,2,2,5,5,134,1,1,2,1,2.153,80.2,80.202,30,1
R_eeYOWuExKzlxS5f,Default Response Set,Anonymous,,,,0,1/8/13 14:53,1/8/13 14:56,1,1077231,81,31,1,1,1,3.659,5.019,5.022,3,2,1,2.783,5.173,5.177,4,1,1,14.313,16.526,16.531,4,1,4,1.6,30.015,30.02,11,1,1,1,1,1,1,25,5,4,3,1,0,2,8,5,7,1,Texas,2,1,1,2,8,6,60000,2,2,2,1,1.593,82.073,82.077,42,1
R_6KD07Bbzi60Sugt,Default Response Set,Anonymous,,,,0,1/8/13 14:48,1/8/13 14:56,1,8183550,9,65,1,1,2,33.377,56.568,56.57,3,2,2,10.387,15.179,15.18,3,1,2,18.592,21.561,21.562,3,2,2,24.275,27.211,27.212,3,1,1,1,1,1,2,44,5,4,3,1,2,11,8,5,2,6,Missouri,2,2,1,1,10,50,50000,1,1,1,1,7.552,145.905,145.906,29,1
R_6m0tWtIH9L9yUbr,Default Response Set,Anonymous,,,,0,1/8/13 14:52,1/8/13 14:56,1,4252798,76,82,1,1,1,10.319,12.402,12.41,3,2,3,18.992,22.236,22.24,3,1,1,8.211,10.629,10.633,3,1,3,46.453,49.999,50.003,3,1,1,1,1,1,2,23,5,4,3,2,0,2,8,5,7,2,New York,2,2,2,2,5,10,10000,1,1,2,2,5.662,114.545,114.551,29,1
R_9B16oyWF1rjJ2sd,Default Response Set,Anonymous,,,,0,1/8/13 14:52,1/8/13 14:56,1,6908725,91,33,1,1,1,6.023,9.455,9.463,3,1,1,10.499,14.186,14.193,3,1,1,10.608,15.895,15.903,3,1,1,35.579,41.491,41.499,3,1,1,1,1,1,1,28,1,4,,2,0,1,8,5,4,4,Illinois,2,2,2,1,50,50,"100,000",1,2,2,2,2.766,128.334,128.357,27,1
